fold,item,actual_category,guess_category,correct,a_sim,b_sim,c_sim,d_sim,e_sim,f_sim
0,b4,b,b,1,-0.317,0.881,0.137,-0.164,0.090,-0.195
0,d10,d,d,1,-0.146,-0.206,-0.565,0.901,0.349,0.326
0,d32,d,d,1,-0.124,0.008,-0.061,0.676,0.572,0.039
1,a13,a,a,1,0.808,-0.174,0.317,-0.234,0.023,-0.726
1,f40,f,f,1,-0.541,-0.143,-0.425,0.163,-0.099,0.928
1,b22,b,b,1,-0.263,0.946,0.171,-0.179,0.010,-0.217
1,c45,c,c,1,0.359,0.183,0.958,-0.307,0.090,-0.388
1,d24,d,d,1,-0.418,-0.098,-0.722,0.713,0.292,0.327
1,c11,c,c,1,0.327,0.204,0.811,-0.216,0.115,-0.626
1,b49,b,b,1,-0.228,0.735,0.064,-0.534,-0.349,-0.295
1,b10,b,b,1,-0.480,0.948,0.209,-0.246,-0.298,-0.112
1,e1,e,e,1,0.156,-0.716,-0.322,0.133,0.531,0.468
1,d19,d,d,1,-0.021,-0.209,-0.154,0.727,0.342,0.242
1,f13,f,f,1,-0.661,-0.146,-0.512,0.030,-0.367,0.843
1,a37,a,a,1,0.717,-0.078,0.233,-0.140,0.021,-0.569
1,e4,e,a,0,0.629,-0.372,0.319,-0.058,0.580,-0.166
1,a14,a,a,1,0.824,-0.082,0.508,0.088,0.352,-0.688
1,f12,f,f,1,-0.251,-0.250,-0.603,0.007,0.019,0.611
1,a24,a,a,1,0.933,-0.432,0.355,-0.154,0.395,-0.458
1,a50,a,a,1,0.809,-0.086,0.295,0.267,0.598,-0.396
1,a45,a,a,1,0.724,0.080,0.172,-0.135,0.209,-0.511
1,c23,c,a,0,0.876,0.020,0.532,-0.031,0.370,-0.814
1,e45,e,e,1,0.234,0.092,0.415,0.155,0.728,0.158
1,a20,a,a,1,0.856,-0.508,0.262,0.286,0.353,-0.297
1,f19,f,f,1,-0.500,-0.209,-0.217,-0.287,-0.150,0.868
1,c8,c,f,0,-0.677,0.395,0.184,-0.301,-0.268,0.465
1,f33,f,f,1,-0.598,-0.110,-0.528,0.352,0.022,0.787
1,d36,d,d,1,-0.030,0.225,-0.045,0.663,0.065,-0.200
1,a49,a,a,1,0.669,0.018,0.534,0.026,0.157,-0.340
1,a9,a,a,1,0.699,0.031,0.485,-0.364,0.016,-0.848
1,b2,b,b,1,0.148,0.715,0.372,-0.130,-0.146,-0.688
1,a18,a,a,1,0.566,-0.129,0.047,0.355,0.165,-0.685
1,a35,a,a,1,0.759,0.096,0.597,-0.285,0.515,-0.506
1,a47,a,a,1,0.834,0.062,0.545,0.012,0.290,-0.607
1,c21,c,c,1,0.059,0.269,0.555,-0.380,0.112,-0.088
1,a19,a,a,1,0.738,-0.079,0.332,0.332,0.635,-0.588
1,f32,f,f,1,-0.310,-0.270,-0.061,0.093,-0.111,0.778
1,e32,e,b,0,0.260,0.604,0.191,0.248,0.506,-0.395
1,a41,a,a,1,0.656,-0.471,0.068,0.516,0.323,-0.359
1,e22,e,e,1,0.440,0.050,-0.308,0.386,0.687,-0.359
1,f41,f,f,1,-0.683,-0.306,-0.337,0.025,-0.215,0.928
1,a44,a,a,1,0.652,0.219,0.402,-0.060,0.032,-0.775
1,a39,a,c,0,0.549,-0.186,0.661,-0.422,-0.113,-0.316
1,d1,d,d,1,0.012,-0.129,-0.414,0.851,0.391,0.475
1,c26,c,c,1,0.388,-0.132,0.829,-0.258,0.363,-0.251
1,e15,e,e,1,0.310,0.026,-0.054,0.366,0.819,0.124
1,d2,d,d,1,0.168,-0.019,-0.333,0.778,0.073,-0.146
1,f47,f,f,1,-0.151,-0.403,0.105,0.208,-0.086,0.654
1,e48,e,e,1,0.253,0.311,0.219,0.394,0.796,-0.337
1,c6,c,c,1,0.139,0.366,0.532,-0.083,0.009,-0.431
1,e43,e,e,1,0.429,-0.132,0.135,0.206,0.683,-0.438
1,e11,e,d,0,0.191,0.146,0.015,0.758,0.385,-0.068
1,c2,c,c,1,0.580,0.186,0.794,-0.543,0.142,-0.601
1,a36,a,a,1,0.907,-0.022,0.512,-0.071,0.212,-0.565
1,f14,f,f,1,0.069,-0.158,0.382,0.166,0.353,0.463
1,c17,c,c,1,0.467,-0.182,0.742,-0.560,0.112,-0.497
1,e9,e,e,1,0.284,-0.099,-0.036,0.510,0.863,-0.210
1,f4,f,f,1,-0.752,-0.241,-0.274,0.032,-0.305,0.817
1,d29,d,d,1,0.148,0.032,-0.137,0.804,0.302,0.180
1,e31,e,d,0,0.085,-0.261,-0.142,0.674,0.654,0.073
1,f17,f,f,1,-0.176,-0.428,-0.177,-0.015,-0.025,0.865
1,c7,c,e,0,0.537,0.039,0.551,0.213,0.680,-0.242
1,f2,f,f,1,-0.414,-0.061,-0.387,0.009,-0.004,0.887
2,e30,e,e,1,0.243,-0.356,0.136,-0.278,0.373,0.352
2,b38,b,b,1,-0.208,0.876,0.132,-0.024,-0.084,-0.445
2,f3,f,f,1,-0.451,-0.034,-0.583,0.397,-0.040,0.842
2,c22,c,c,1,0.386,0.083,0.835,-0.553,-0.148,-0.503
2,e10,e,e,1,0.099,0.267,-0.137,0.543,0.780,-0.076
2,d15,d,d,1,0.080,0.091,-0.236,0.784,0.480,-0.285
2,c5,c,c,1,0.110,0.054,0.736,-0.074,-0.049,-0.303
2,e50,e,e,1,-0.277,-0.128,-0.207,0.413,0.474,0.364
2,a25,a,e,0,0.660,0.136,0.440,0.045,0.765,-0.364
2,d3,d,d,1,-0.258,-0.162,-0.575,0.884,0.317,0.318
2,c50,c,c,1,0.313,-0.065,0.852,-0.347,-0.098,-0.172
2,c16,c,a,0,0.575,-0.258,0.445,-0.256,0.156,-0.187
2,e5,e,e,1,0.181,0.106,0.069,0.259,0.566,-0.331
2,a5,a,a,1,0.785,-0.380,0.427,0.048,0.253,-0.334
2,b16,b,b,1,-0.069,0.802,0.371,-0.188,0.198,-0.260
2,c33,c,c,1,0.320,0.517,0.790,-0.321,0.165,-0.685
2,c27,c,c,1,0.644,-0.080,0.839,-0.151,0.103,-0.515
2,b47,b,b,1,-0.270,0.778,0.013,0.336,-0.091,-0.384
2,c10,c,a,0,0.760,0.042,0.537,-0.240,0.080,-0.439
2,c48,c,b,0,0.245,0.604,0.444,-0.039,0.502,-0.187
2,e19,e,e,1,0.387,-0.209,0.146,0.427,0.916,-0.162
2,e18,e,e,1,0.154,-0.124,-0.171,0.431,0.715,-0.255
2,c13,c,c,1,0.429,-0.199,0.862,-0.523,-0.045,-0.217
2,b30,b,b,1,-0.164,0.911,0.163,0.052,-0.053,-0.307
2,b5,b,b,1,0.153,0.825,0.228,-0.181,0.030,-0.419
2,b18,b,b,1,-0.205,0.798,0.193,-0.415,-0.451,-0.283
2,c37,c,c,1,0.446,0.131,0.912,-0.416,0.076,-0.261
2,c9,c,a,0,0.669,-0.082,0.413,-0.317,-0.259,-0.535
2,d42,d,d,1,-0.006,-0.251,-0.488,0.745,0.406,0.084
2,c49,c,c,1,0.664,0.055,0.810,-0.049,0.231,-0.496
2,a17,a,a,1,0.743,0.355,0.349,-0.117,0.048,-0.768
2,b25,b,b,1,-0.600,0.787,0.219,-0.184,-0.268,-0.021
2,f34,f,f,1,-0.266,-0.244,-0.079,0.436,0.148,0.638
2,c25,c,c,1,0.153,-0.420,0.580,-0.247,0.171,0.054
2,d50,d,d,1,0.232,0.366,-0.132,0.558,0.321,-0.492
2,e24,e,e,1,0.274,-0.164,0.318,0.026,0.695,0.030
2,b39,b,b,1,-0.046,0.638,0.451,0.307,0.268,-0.314
2,b44,b,b,1,-0.186,0.754,0.022,-0.185,0.018,-0.008
2,c36,c,c,1,0.414,0.123,0.872,-0.251,0.084,-0.532
2,b32,b,b,1,0.102,0.893,0.370,-0.134,-0.092,-0.435
2,b8,b,b,1,-0.107,0.770,0.528,0.001,0.009,-0.441
2,a27,a,a,1,0.691,-0.617,0.068,0.018,0.191,-0.296
2,a12,a,a,1,0.487,-0.324,0.127,-0.055,-0.152,-0.349
2,a7,a,a,1,0.777,-0.374,0.335,0.226,0.317,-0.390
2,f22,f,f,1,-0.639,-0.142,-0.176,-0.266,-0.243,0.865
2,d20,d,d,1,-0.186,0.058,-0.048,0.668,0.305,-0.021
2,b24,b,b,1,-0.459,0.889,-0.080,-0.182,-0.259,-0.072
2,d41,d,d,1,0.015,-0.434,-0.731,0.572,-0.005,0.336
2,e38,e,b,0,-0.129,0.568,-0.189,0.304,-0.136,-0.152
2,d16,d,d,1,0.303,-0.384,-0.607,0.780,0.357,0.026
2,f35,f,f,1,-0.602,-0.022,-0.087,0.244,-0.174,0.753
2,b45,b,b,1,-0.457,0.923,0.195,-0.052,-0.299,-0.104
2,f1,f,f,1,-0.289,-0.592,-0.740,0.320,-0.017,0.677
2,a1,a,a,1,0.712,0.213,0.436,0.021,0.430,-0.505
2,e34,e,e,1,0.252,0.351,0.185,0.281,0.701,-0.156
2,f6,f,f,1,-0.328,-0.116,-0.124,0.205,0.029,0.621
2,b50,b,b,1,-0.501,0.591,0.195,-0.261,-0.369,0.195
2,d30,d,d,1,-0.219,0.015,-0.662,0.774,0.176,0.315
2,a10,a,a,1,0.749,-0.319,0.219,-0.195,0.463,-0.573
2,c20,c,c,1,0.389,0.244,0.940,-0.183,0.326,-0.410
3,c39,c,c,1,0.420,0.477,0.858,-0.418,0.111,-0.496
3,e39,e,e,1,0.103,-0.410,-0.023,0.438,0.804,-0.035
3,a16,a,a,1,0.733,-0.274,0.575,0.168,0.714,-0.182
3,b33,b,b,1,-0.154,0.900,0.156,0.081,0.036,-0.424
3,e33,e,e,1,0.533,-0.327,0.099,0.632,0.762,-0.138
3,d7,d,d,1,0.275,-0.386,-0.204,0.701,0.245,-0.226
3,b21,b,b,1,-0.181,0.641,0.016,0.027,-0.020,-0.326
3,e47,e,e,1,-0.139,-0.115,0.012,0.501,0.723,0.487
3,a23,a,a,1,0.906,-0.484,0.359,0.132,0.257,-0.403
3,f18,f,f,1,-0.460,0.085,-0.131,0.420,0.172,0.747
3,c31,c,c,1,0.041,-0.194,0.611,-0.119,-0.276,0.139
3,a40,a,a,1,0.753,-0.202,0.453,-0.178,0.105,-0.461
3,f31,f,f,1,-0.749,-0.164,-0.559,0.152,-0.226,0.916
3,c32,c,c,1,0.141,0.386,0.884,-0.306,0.156,-0.421
3,f11,f,f,1,-0.689,-0.390,-0.475,0.041,-0.203,0.647
3,f9,f,f,1,-0.682,-0.059,-0.438,0.114,-0.047,0.950
3,a15,a,a,1,0.918,-0.197,0.405,0.214,0.452,-0.471
3,c14,c,c,1,-0.054,0.012,0.476,-0.219,0.232,0.124
3,c12,c,c,1,0.462,0.084,0.919,-0.337,0.192,-0.289
3,d18,d,d,1,0.216,-0.224,-0.274,0.946,0.378,0.032
3,b13,b,b,1,-0.174,0.517,0.290,-0.051,0.113,-0.524
3,f5,f,f,1,0.040,0.172,0.214,-0.261,-0.241,0.264
3,b9,b,b,1,0.033,0.915,0.290,-0.062,-0.004,-0.352
3,e6,e,e,1,0.099,0.287,-0.031,0.007,0.558,-0.304
3,a11,a,e,0,0.535,0.186,0.251,0.444,0.591,-0.578
3,e21,e,d,0,0.197,-0.002,-0.305,0.719,0.713,0.137
3,d14,d,f,0,-0.049,-0.556,-0.322,0.469,0.414,0.566
3,e46,e,e,1,0.183,-0.241,-0.133,0.694,0.712,-0.060
3,a26,a,a,1,0.881,-0.403,0.559,-0.114,0.476,-0.305
3,f15,f,f,1,-0.516,0.185,-0.381,0.501,0.161,0.554
3,d5,d,d,1,-0.324,0.190,-0.164,0.642,0.252,0.148
3,f48,f,f,1,-0.510,-0.438,-0.442,0.198,0.323,0.617
3,a22,a,a,1,0.843,-0.365,0.271,-0.011,0.490,-0.596
3,f30,f,f,1,-0.332,-0.254,-0.082,-0.213,-0.089,0.835
3,e20,e,a,0,0.639,-0.128,-0.025,0.209,0.582,-0.459
3,d11,d,d,1,0.176,0.019,-0.299,0.861,0.543,0.091
3,d27,d,d,1,-0.137,-0.554,-0.323,0.304,-0.071,0.238
3,f24,f,f,1,-0.123,-0.396,-0.271,0.395,0.141,0.804
3,f23,f,f,1,-0.317,0.079,-0.008,-0.514,-0.573,0.460
3,d12,d,d,1,-0.173,-0.030,-0.383,0.935,0.390,0.131
3,a29,a,a,1,0.766,-0.361,0.414,-0.324,0.145,-0.485
3,c47,c,c,1,0.424,0.529,0.736,-0.179,0.003,-0.755
3,d23,d,d,1,0.401,-0.045,0.013,0.850,0.469,-0.298
3,b14,b,b,1,-0.287,0.832,-0.167,0.086,-0.052,0.039
3,b36,b,b,1,-0.022,0.848,0.260,0.293,0.148,-0.425
3,b40,b,b,1,0.153,0.889,0.369,-0.104,-0.069,-0.539
3,d33,d,d,1,-0.189,0.291,-0.534,0.505,0.235,0.418
3,e26,e,e,1,0.467,-0.240,0.017,0.288,0.766,0.033
3,e8,e,c,0,0.302,0.020,0.622,0.135,0.347,-0.487
3,b34,b,b,1,-0.287,0.812,0.078,0.174,-0.100,-0.114
3,c35,c,c,1,0.156,0.213,0.899,-0.469,0.130,-0.188
3,d4,d,d,1,0.130,-0.324,-0.333,0.684,0.553,0.068
3,a48,a,a,1,0.907,-0.098,0.516,-0.154,0.156,-0.601
3,e36,e,a,0,0.553,-0.257,0.333,-0.302,0.352,-0.076
3,a3,a,a,1,0.728,-0.225,0.378,-0.242,0.298,-0.255
3,d35,d,d,1,-0.177,0.005,-0.341,0.884,0.263,0.327
3,d31,d,d,1,-0.022,0.372,-0.124,0.781,0.372,-0.025
3,d46,d,d,1,-0.326,-0.280,-0.715,0.745,0.101,0.583
3,f29,f,f,1,-0.578,-0.164,-0.506,-0.063,-0.142,0.743
3,c15,c,c,1,0.097,0.181,0.591,-0.258,-0.272,-0.547
4,d25,d,d,1,-0.186,0.102,-0.509,0.901,0.144,0.123
4,e41,e,e,1,0.427,0.068,0.146,0.235,0.903,-0.276
4,f20,f,f,1,-0.186,-0.562,-0.471,0.320,0.140,0.679
4,a38,a,a,1,0.702,-0.437,0.320,-0.021,0.634,-0.466
4,a4,a,a,1,0.737,-0.242,-0.032,0.562,0.656,-0.313
4,d43,d,d,1,0.014,-0.349,-0.472,0.868,0.280,0.241
4,f45,f,f,1,-0.784,-0.001,-0.629,0.210,-0.006,0.819
4,d45,d,d,1,-0.036,-0.402,-0.519,0.907,0.438,0.335
4,c34,c,c,1,0.308,0.316,0.793,-0.168,0.116,-0.283
4,f42,f,f,1,-0.290,-0.649,-0.338,0.192,0.332,0.742
4,c24,c,c,1,0.418,0.413,0.811,-0.345,-0.025,-0.362
4,f8,f,f,1,-0.149,-0.775,-0.395,-0.164,-0.405,0.583
4,d39,d,d,1,0.012,-0.096,-0.601,0.746,0.577,0.051
4,d22,d,b,0,-0.063,0.507,-0.076,0.255,0.219,-0.001
4,d38,d,d,1,0.285,-0.035,0.056,0.856,0.548,0.026
4,e37,e,e,1,-0.099,-0.472,0.226,0.008,0.399,0.077
4,f44,f,f,1,-0.530,-0.329,-0.511,0.282,-0.236,0.865
4,b43,b,b,1,-0.258,0.893,-0.157,-0.093,-0.135,-0.291
4,d6,d,d,1,-0.304,0.299,0.011,0.696,0.253,0.325
4,b37,b,b,1,-0.074,0.786,0.412,-0.042,-0.306,-0.160
4,d48,d,d,1,-0.054,-0.100,-0.394,0.919,0.603,0.185
4,a2,a,a,1,0.720,-0.286,0.624,-0.381,0.045,-0.143
4,d34,d,d,1,0.146,-0.353,-0.465,0.747,0.442,0.081
4,b20,b,b,1,-0.416,0.860,0.081,-0.041,-0.139,0.140
4,e28,e,a,0,0.634,-0.046,0.370,0.270,0.086,-0.146
4,d40,d,d,1,0.293,-0.252,-0.265,0.893,0.568,0.111
4,e49,e,a,0,0.612,0.019,0.410,-0.189,0.541,-0.495
4,a21,a,a,1,0.745,-0.214,0.340,-0.292,0.392,-0.539
4,b12,b,b,1,-0.065,0.785,0.159,-0.512,-0.242,-0.219
4,b28,b,b,1,-0.454,0.829,-0.209,-0.161,-0.290,0.024
4,b17,b,b,1,-0.437,0.707,-0.143,0.463,0.053,-0.092
4,f36,f,f,1,-0.528,-0.244,-0.428,0.320,-0.134,0.789
4,d17,d,d,1,0.118,0.544,-0.040,0.704,0.370,-0.320
4,e2,e,e,1,0.040,0.209,0.285,0.465,0.673,0.096
4,c29,c,c,1,0.148,-0.128,0.664,-0.385,-0.040,0.094
4,b31,b,b,1,-0.128,0.666,0.045,-0.101,-0.388,-0.040
4,f28,f,f,1,-0.525,0.121,-0.078,0.086,-0.033,0.811
4,c30,c,c,1,0.137,0.039,0.620,-0.333,0.346,-0.163
4,d9,d,e,0,0.233,0.304,0.487,0.239,0.561,-0.513
4,b3,b,b,1,-0.277,0.833,0.076,0.061,0.081,-0.113
4,b46,b,b,1,-0.267,0.884,0.167,0.101,-0.038,-0.364
4,f38,f,f,1,-0.558,-0.049,-0.597,0.187,0.194,0.801
4,e3,e,e,1,0.145,-0.306,-0.535,0.707,0.731,0.149
4,d28,d,f,0,-0.545,-0.360,-0.274,0.313,-0.056,0.575
4,b11,b,b,1,-0.314,0.857,0.020,-0.206,0.059,-0.215
4,b41,b,b,1,-0.165,0.867,-0.049,-0.075,-0.321,-0.236
4,c41,c,c,1,0.407,0.197,0.493,0.071,0.163,0.092
4,e42,e,a,0,0.696,-0.201,0.448,0.015,0.612,-0.240
4,e14,e,e,1,0.272,-0.371,0.020,0.284,0.778,0.312
4,f50,f,f,1,-0.662,-0.169,-0.431,0.042,0.089,0.902
4,a30,a,a,1,0.702,-0.718,0.002,-0.025,0.205,-0.227
4,a6,a,a,1,0.744,-0.279,0.198,0.307,0.664,-0.474
4,a28,a,a,1,0.840,-0.083,0.375,0.112,0.472,-0.674
4,c46,c,c,1,0.468,0.356,0.748,-0.507,0.232,-0.384
4,e12,e,e,1,0.438,-0.290,0.350,0.232,0.682,0.167
4,b35,b,b,1,0.406,0.670,0.254,-0.005,0.027,-0.825
4,e25,e,e,1,0.358,-0.113,0.392,-0.014,0.703,-0.245
4,d37,d,d,1,-0.009,-0.274,-0.429,0.782,0.539,-0.082
4,c42,c,c,1,0.443,-0.092,0.744,-0.331,-0.161,-0.085
4,f43,f,f,1,-0.492,-0.323,-0.591,0.302,-0.091,0.472
